timestamp,ax,ay,az,gx,gy,gz,activity
182146, 0.000000, 0.923218, -0.027222, -0.157104, -15.380863, 43.579102, -28.198250,left_up
182166, 0.000000, 0.960693, 0.052612, -0.020020, 7.446291, 76.965332, -58.166519,left_up
182186, 0.000000, 0.959229, 0.138672, 0.127808, 20.202637, 105.957062, -80.749512,left_up
182206, 0.000000, 0.912964, 0.256836, 0.265869, 24.353035, 123.657257, -91.125519,left_up
182226, 0.000000, 0.815918, 0.315186, 0.386719, 25.634773, 128.112793, -88.623077,left_up
182246, 0.000000, 0.750488, 0.452637, 0.542847, 45.776382, 121.704132, -82.275391,left_up
182266, 0.000000, 0.725708, 0.698120, 0.678345, 44.006348, 101.379425, -64.147949,left_up
182286, 0.000000, 0.680664, 0.865723, 0.762817, 17.944336, 66.101074, -30.395515,left_up
182306, 0.000000, 0.673096, 0.849731, 0.778564, -19.226074, 24.169930, 10.803223,left_up
182326, 0.000000, 0.721924, 0.635620, 0.729980, -25.329597, -12.023930, 38.757324,left_up
182346, 0.000000, 0.773315, 0.495239, 0.653442, -1.708985, -35.766602, 48.278824,left_up
182366, 0.000000, 0.812988, 0.475464, 0.560669, 3.723145, -51.513687, 51.208511,left_up
182386, 0.000000, 0.864990, 0.385376, 0.442749, -15.136723, -64.270020, 48.645035,left_up
182406, 0.000000, 0.883301, 0.287354, 0.390381, -18.920898, -65.307617, 41.870117,left_up
182426, 0.000000, 0.886719, 0.219482, 0.363037, -5.371094, -61.157242, 33.081055,left_up
182446, 0.000000, 0.872437, 0.233398, 0.324585, 8.056641, -55.725113, 27.160652,left_up
182466, 0.000000, 0.867432, 0.253906, 0.286255, 5.737307, -51.757828, 25.878914,left_up
182486, 0.000000, 0.862915, 0.259888, 0.259155, -5.859377, -48.278824, 26.123055,left_up
182506, 0.000000, 0.854004, 0.214600, 0.226074, -14.282230, -45.043961, 26.855476,left_up
182526, 0.000000, 0.842407, 0.159668, 0.175781, -14.526371, -41.320801, 26.672371,left_up
182546, 0.000000, 0.845093, 0.111572, 0.129272, -6.103518, -36.376953, 23.803719,left_up
182566, 0.000000, 0.861328, 0.110962, 0.095337, -0.122070, -29.785164, 18.676758,left_up
182586, 0.000000, 0.888184, 0.140747, 0.066528, -3.479005, -20.996094, 11.474613,left_up
182606, 0.000000, 0.903687, 0.146851, 0.009766, -26.000984, -12.023930, 6.164553,left_up
182626, 0.000000, 0.925171, 0.099854, -0.050415, -49.011246, -0.122070, -1.037598,left_up
182646, 0.000000, 0.948242, -0.025391, -0.107666, -54.626480, 19.104004, -13.977055,left_up
182666, 0.000000, 0.947021, -0.057129, 0.078491, -7.202150, 68.847656, -51.818863,left_up
182686, 0.000000, 0.963501, 0.114502, 0.206665, 28.564461, 102.844269, -80.810547,left_up
182706, 0.000000, 0.902344, 0.262817, 0.304932, 43.212891, 118.957550, -96.313507,left_up
182726, 0.000000, 0.762817, 0.366455, 0.410156, 44.433609, 115.661652, -92.346222,left_up
182746, 0.000000, 0.725586, 0.534668, 0.567749, 40.466309, 100.585968, -76.293945,left_up
182766, 0.000000, 0.731689, 0.706055, 0.734253, 43.090820, 77.575684, -57.861343,left_up
182786, 0.000000, 0.691040, 0.891724, 0.811523, 28.869637, 41.015625, -24.353035,left_up
182806, 0.000000, 0.679077, 0.898438, 0.813599, -7.934572, -3.051759, 19.836426,left_up
182826, 0.000000, 0.734131, 0.692627, 0.747559, -21.240234, -39.733887, 50.415054,left_up
