timestamp,ax,ay,az,gx,gy,gz,activity
46101, 1.000000, 0.959351, -0.035278, 0.140137, -5.310059, -48.461929, -17.822266,right_up
46121, 1.000000, 0.958008, -0.013794, 0.115112, -5.371094, -43.395996, -16.662598,right_up
46141, 1.000000, 0.926880, 0.016235, 0.103882, -8.422852, -38.085938, -14.587406,right_up
46161, 1.000000, 0.921509, 0.003174, 0.111206, -5.737307, -35.949707, -14.709476,right_up
46181, 1.000000, 0.903687, 0.005127, 0.109985, -0.061035, -34.851074, -13.427738,right_up
46201, 1.000000, 0.898682, 0.017578, 0.112183, -1.037598, -33.935547, -9.338379,right_up
46221, 1.000000, 0.882690, -0.010742, 0.056641, -0.183106, -33.325195, -5.432129,right_up
46241, 1.000000, 0.833130, -0.046753, -0.038452, 10.375977, -33.203125, -1.647950,right_up
46261, 1.000000, 0.808472, -0.189819, -0.305786, 64.025879, -23.803719, -4.638672,right_up
46281, 1.000000, 0.982422, -0.033691, -0.508301, 185.058655, -3.051759, -15.197758,right_up
46301, 1.000000, 1.173218, 0.241333, -0.468506, 129.943848, 42.602539, -5.126953,right_up
46321, 1.000000, 1.099731, 0.116211, -0.514526, 67.138672, 117.492706, 0.061035,right_up
46341, 1.000000, 0.962524, 0.072632, -0.210693, 14.831547, 166.381836, 1.220703,right_up
46361, 1.000000, 0.894409, 0.050293, -0.002563, 8.361816, 191.589417, -2.502441,right_up
46381, 1.000000, 0.782959, 0.021484, 0.553223, -18.493652, 185.852112, 5.065918,right_up
46401, 1.000000, 0.752075, 0.070923, 0.983521, -42.541504, 143.737793, 5.249023,right_up
46421, 1.000000, 0.759399, 0.038452, 1.154541, -89.477570, 102.050812, 12.329105,right_up
46441, 1.000000, 0.853149, -0.049683, 1.080078, -92.102081, 21.850586, 15.258793,right_up
46461, 1.000000, 0.876831, -0.158325, 0.944336, -61.035172, -21.911621, 9.887695,right_up
46481, 1.000000, 0.907227, -0.148682, 0.804688, -2.075195, -56.640640, -1.770020,right_up
46501, 1.000000, 0.941162, -0.067383, 0.663818, 18.615723, -76.232910, -7.812502,right_up
46521, 1.000000, 0.984863, -0.031006, 0.517578, 10.925293, -82.458496, -10.498047,right_up
46541, 1.000000, 1.002197, 0.009399, 0.423828, -6.347658, -81.176758, -12.695316,right_up
46561, 1.000000, 0.985474, -0.046753, 0.319580, -20.080566, -76.721191, -14.099125,right_up
